"dbms","table_catelog","table_schema","table_name","column_name","ordinal_position","data_type","character_maximum_length","constraint_type","table_schema","table_name","column_name"
postgresql,Production.backoffice,backoffice,public.PRD_Products,ProductDisplayName,3,character varying,250,,,,
postgresql,Production.backoffice,backoffice,public.PRD_Products,IsDiscontinued,4,boolean,,,,,
postgresql,Production.backoffice,backoffice,public.PRD_Products,LastUpdatedDate,10,timestamp without time zone,,,,,
postgresql,Production.backoffice,backoffice,public.PRD_Products,ProductName,2,character varying,250,,,,
postgresql,Production.backoffice,backoffice,public.PRD_Products,WorkFlowCode,14,integer,,,,,
postgresql,Production.backoffice,backoffice,public.PRD_Products,LastUpdatedBy,12,bigint,,,,,
postgresql,Production.backoffice,backoffice,public.PRD_Products,ProductId,1,bigint,,,,,
postgresql,Production.backoffice,backoffice,public.PRD_Products,IsFlashLoan,17,boolean,,,,,
postgresql,Production.backoffice,backoffice,public.PRD_Products,Description,13,character varying,1000,,,,
postgresql,Production.backoffice,backoffice,public.PRD_Products,DiscontinuedDate,5,timestamp without time zone,,,,,
postgresql,Production.backoffice,backoffice,public.PaymentModes,UseDisbursementMode,8,boolean,,,,,
postgresql,Production.backoffice,backoffice,public.PaymentModes,Type,4,character varying,50,,,,
postgresql,Production.backoffice,backoffice,public.PaymentModes,IsIDLPApplied,10,boolean,,,,,
postgresql,Production.backoffice,backoffice,public.PaymentModes,PaymentModeId,1,integer,,,,,
postgresql,Production.backoffice,backoffice,public.PaymentModes,UseRefundMode,12,boolean,,,,,
postgresql,Production.backoffice,backoffice,public.PaymentModes,IsFingerPrintAllowed,6,boolean,,,,,
postgresql,Production.backoffice,backoffice,public.PaymentModes,PaymentCode,2,character varying,20,,,,
postgresql,Production.backoffice,backoffice,public.PaymentModes,IsCardNumberRequired,9,boolean,,,,,
postgresql,Production.backoffice,backoffice,public.PaymentModes,IsCancelLoanAllowed,7,boolean,,,,,
postgresql,Production.backoffice,backoffice,public.PaymentModes,DebitOrderModeId,11,integer,,,,,
postgresql,Production.backoffice,backoffice,public.PaymentModes,PaymentDescription,3,character varying,100,,,,
postgresql,Production.backoffice,backoffice,public.PaymentModes,IsActive,5,boolean,,,,,
postgresql,Production.backoffice,backoffice,public.Province,PostalCode,4,character varying,4,,,,
postgresql,Production.backoffice,backoffice,public.Province,ShortCode,2,character varying,7,,,,
postgresql,Production.backoffice,backoffice,public.Province,Description,3,character varying,15,,,,
postgresql,Production.backoffice,backoffice,public.Province,ProvinceId,1,bigint,,,,,
postgresql,Production.backoffice,backoffice,public.Province,AddressLine3,5,character varying,150,,,,
postgresql,Production.backoffice,backoffice,public.XDSCustomerDetailsLog,Request,4,text,,,,,
postgresql,Production.backoffice,backoffice,public.XDSCustomerDetailsLog,XDSCustomerDetailsLogId,1,bigint,,,,,
postgresql,Production.backoffice,backoffice,public.XDSCustomerDetailsLog,CurrentCollection,8,character varying,50,,,,
postgresql,Production.backoffice,backoffice,public.XDSCustomerDetailsLog,ApplicationId,3,character varying,50,,,,
postgresql,Production.backoffice,backoffice,public.XDSCustomerDetailsLog,Response,5,text,,,,,
postgresql,Production.backoffice,backoffice,public.XDSCustomerDetailsLog,Type,6,character varying,60,,,,
postgresql,Production.backoffice,backoffice,public.XDSCustomerDetailsLog,IdNumber,2,character varying,20,,,,
postgresql,Production.backoffice,backoffice,public.XDSCustomerDetailsLog,UpdatedResponse,10,text,,,,,
postgresql,Production.backoffice,backoffice,public.XDSCustomerDetailsLog,Status,7,character varying,20,,,,
postgresql,Production.backoffice,backoffice,public.XDSCustomerDetailsLog,InsertTime,9,timestamp without time zone,,,,,
postgresql,Production.backoffice,backoffice,sqlmig.Address,AddressId,1,integer,,,,,
postgresql,Production.backoffice,backoffice,sqlmig.Address,ClientId,3,integer,,,,,
postgresql,Production.backoffice,backoffice,sqlmig.Address,AddressLine3,6,character varying,100,,,,
postgresql,Production.backoffice,backoffice,sqlmig.Address,AddressLine4,7,character varying,100,,,,
postgresql,Production.backoffice,backoffice,sqlmig.Address,PostalCode,8,character varying,6,,,,
postgresql,Production.backoffice,backoffice,sqlmig.Address,AddressTypeId,2,bigint,,,,,
postgresql,Production.backoffice,backoffice,sqlmig.Address,AddressLine2,5,character varying,100,,,,
postgresql,Production.backoffice,backoffice,sqlmig.Address,AddressLine1,4,character varying,100,,,,
postgresql,Production.backoffice,backoffice,sqlmig.Address,Province,9,integer,,,,,
postgresql,Production.backoffice,backoffice,sqlmig.Affordability,UserDefinedLiability,47,numeric,,,,,
postgresql,Production.backoffice,backoffice,sqlmig.Affordability,Entertainment,26,numeric,,,,,
postgresql,Production.backoffice,backoffice,sqlmig.Affordability,OptionType,9,integer,,,,,
postgresql,Production.backoffice,backoffice,sqlmig.Affordability,Install_P_M,43,numeric,,,,,
postgresql,Production.backoffice,backoffice,sqlmig.Affordability,AffordabilityId,1,integer,,,,,
postgresql,Production.backoffice,backoffice,sqlmig.Affordability,UserDefinedNLR,48,integer,,,,,
postgresql,Production.backoffice,backoffice,sqlmig.Affordability,Updated,56,boolean,,,,,
postgresql,Production.backoffice,backoffice,sqlmig.Affordability,Discretion,50,numeric,,,,,
postgresql,Production.backoffice,backoffice,sqlmig.Affordability,EnqNo,38,integer,,,,,
